post_id,post_date,is_published,email_sent_at,type,audience,title,subtitle,podcast_url
42022.in-correspondence-1,2019-03-24T09:13:33.437Z,true,2019-03-24T09:13:33.451Z,newsletter,everyone,In Correspondence #1,,
53186.in-correspondence-2,2019-04-27T17:05:25.462Z,true,2019-04-27T17:05:25.480Z,newsletter,everyone,In Correspondence #2,,
61531.in-correspondence-3,2019-05-24T10:34:33.377Z,true,2019-05-24T10:34:33.748Z,newsletter,everyone,In Correspondence #3,,
82603.in-correspondence-4,2019-07-08T12:34:39.346Z,true,2019-07-08T12:34:39.373Z,newsletter,everyone,In Correspondence #4,,
98954.in-correspondence-5,2019-08-05T16:45:22.482Z,true,2019-08-05T16:45:22.503Z,newsletter,everyone,In Correspondence #5,"Borderland, New Moon Gathering & ICONOMI",
120814.in-correspondence-6,2019-09-10T16:33:23.221Z,true,2019-09-10T16:33:23.242Z,newsletter,everyone,In Correspondence #6,"XR Rebel Rising, Embercombe & The Amazon",
161552.in-correspondence-7,2019-11-04T15:50:30.858Z,true,2019-11-04T15:50:30.875Z,newsletter,everyone,In Correspondence #7,"Extinction Rebellion, ISTA & Emerge",
199640.in-correspondence-8,2019-12-16T22:56:33.643Z,true,2019-12-16T22:56:34.119Z,newsletter,everyone,In Correspondence #8,"New network view, Green Party debut & Totnes Convergence",
218120.totnes-convergence,2020-01-08T10:18:46.581Z,true,2020-01-08T10:18:46.594Z,newsletter,everyone,Totnes Convergence,Thursday 4th - Sunday 7th June 2020,
258234.in-correspondence-9,2020-02-01T11:16:01.771Z,true,2020-02-01T11:16:01.788Z,newsletter,everyone,In Correspondence #9,"Totnes Convergence, sharing superpowers and plans for 2020",
293778.totnes-convergence-organisations,2020-02-27T12:21:01.297Z,true,2020-02-27T12:21:01.323Z,newsletter,everyone,Totnes Convergence organisations,,
326742.in-correspondence-10,2020-03-23T15:56:26.504Z,true,2020-03-23T15:56:26.571Z,newsletter,everyone,In Correspondence #10,Coronavirus Sensemaking,
421061.in-correspondence-11,2020-05-01T09:39:03.886Z,true,2020-05-01T09:39:03.941Z,newsletter,everyone,In Correspondence #11,,
593449.in-correspondence-12,2020-06-28T09:42:00.134Z,true,2020-06-28T09:42:00.161Z,newsletter,everyone,In Correspondence #12,"Don't Go Back To Normal, Dandelion and the Tao",
666245.unplugging-from-facebook,2020-07-09T14:35:58.945Z,true,2020-07-09T14:35:59.103Z,newsletter,everyone,Unplugging from Facebook,I'm significantly changing how I use Facebook and other corporate social media,
725039.new-offerings,2020-07-16T13:04:08.403Z,true,2020-07-16T13:04:08.431Z,newsletter,everyone,New offerings,"Technology & co-operative business coaching, consulting, coding & facilitation
",
857553.in-correspondence-13,2020-08-17T09:50:50.354Z,true,2020-08-17T09:51:10.794Z,newsletter,everyone,In Correspondence #13,"Monthly news review, the Tao, DeFi and Medicine",
892315.podcast-special,2020-08-24T18:02:45.442Z,true,2020-08-24T18:02:45.480Z,newsletter,everyone,Podcast special,,
4002301.in-correspondence-14,2020-09-26T22:26:31.420Z,true,2020-09-26T22:26:31.482Z,newsletter,everyone,In Correspondence #14,Lost gardens and decentralised finance ,
10904510.zoom-link-for-tonights-news-review,2020-10-14T11:03:27.513Z,true,2020-10-14T11:03:27.559Z,newsletter,only_paid,Zoom link for tonight's News Review,,
11293681.news-review-recording,2020-10-14T18:22:22.998Z,true,2020-10-14T18:22:23.025Z,newsletter,only_paid,News Review recording,,
17273041.in-correspondence-15,2020-11-03T11:09:15.254Z,true,2020-11-03T11:09:15.293Z,newsletter,everyone,In Correspondence #15,"Co-ops, SEEDS and crypto",
18504527.zoom-link-for-tonights-news-review-c3b,2020-11-11T11:09:13.389Z,true,2020-11-11T11:09:13.485Z,newsletter,only_paid,Zoom link for tonight's News Review,,
18577699.news-review-recording-85d,2020-11-12T17:02:17.383Z,true,2020-11-12T17:02:17.427Z,newsletter,only_paid,News Review recording,,
1554786.news-review-tonight,,false,,newsletter,only_paid,,,
10904504.zoom-link,,false,,newsletter,only_paid,,,
618961.introduction-to-dandelion-tues-14th,,false,,newsletter,everyone,,,
